Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Puissance fiscale,Nombre de portes,Origine,Première main,État,equip_Jantes aluminium,equip_Caméra de recul,equip_ESP,equip_Régulateur de vitesse,equip_CD/MP3/Bluetooth,equip_Vitres électriques,equip_Aucun,equip_Radar de recul,equip_Ordinateur de bord,equip_Système de navigation/GPS,equip_ABS,equip_Limiteur de vitesse,equip_Airbags,equip_Verrouillage centralisé à distance,equip_Climatisation,equip_Sièges cuir,equip_Toit ouvrant,Carburant_encoded,Origine_Dédouanée,Origine_Importée neuve,Origine_Inconnue,Origine_Pas encore dédouanée,Origine_WW au Maroc,État_encoded
78000,2018,0,Essence,175000,Dacia,Sandero,7.0,5,Inconnue,0,Très bon,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0.18709133094283906,0.0,0.0,1.0,0.0,0.0,2
100000,2010,0,Diesel,165000,Renault,Megane,6.0,5,WW au Maroc,1,Très bon,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
155000,2022,0,Diesel,32500,Dacia,Logan,6.0,5,WW au Maroc,1,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
120000,2015,0,Diesel,185000,Skoda,Autres,6.0,5,WW au Maroc,1,Très bon,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
39000,2007,0,Essence,325000,Fiat,Siena,7.0,5,WW au Maroc,0,Très bon,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.18709133094283906,0.0,0.0,0.0,0.0,1.0,2
120000,2015,0,Diesel,225000,Dacia,Duster,6.0,5,WW au Maroc,0,Très bon,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
349000,2019,1,Diesel,125000,Mercedes-Benz,Classe A,6.0,5,Dédouanée,1,Très bon,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0.7994797159530338,1.0,0.0,0.0,0.0,0.0,2
115000,2010,0,Diesel,225000,Volkswagen,Touran,8.0,5,Importée neuve,1,Très bon,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,1.0,0.0,0.0,0.0,2
205000,2014,1,Diesel,135000,Land Rover,Range Rover Evoque,9.0,3,Dédouanée,1,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.7994797159530338,1.0,0.0,0.0,0.0,0.0,2
75000,2013,0,Diesel,375000,Opel,Insignia,8.0,5,WW au Maroc,1,Très bon,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
